date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:08	295/295	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2015:37:08%20GMT	http://localhost/robots.txt		(from )
17:37:25	132038/132038	---MC-	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2015:37:08%20GMT	http://localhost/Sito/	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/index.html	(from )
17:37:25	43034/43034	---M--	200	added ('OK')	text/css	etag:%22a81a-618e7d5b5981f%22	http://localhost/Sito/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.6.14	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/themes/astra/assets/css/minified/main.min33c5.css	(from http://localhost/Sito/)
17:37:27	295/295	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2015:37:26%20GMT	http://localhost/Sito/feed/	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/feed/index.html	(from http://localhost/Sito/)
17:37:27	295/295	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2015:37:26%20GMT	http://localhost/Sito/comments/feed/	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/comments/feed/index.html	(from http://localhost/Sito/)
17:37:27	113381/113381	---M--	200	added ('OK')	text/css	etag:%221bae5-6125e1e30bbc0%22	http://localhost/Sito/wp-includes/css/dist/block-library/style.min.css?ver=6.5.3	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-includes/css/dist/block-library/style.minef10.css	(from http://localhost/Sito/)
17:37:28	297/297	---M--	200	added ('OK')	text/css	etag:%22129-618e7a65d0434%22	http://localhost/Sito/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min.css?ver=2.13.2	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min42a3.css	(from http://localhost/Sito/)
17:37:29	4023/4023	---M--	200	added ('OK')	text/css	etag:%22fb7-618e7a65cf87b%22	http://localhost/Sito/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/slick.min.css?ver=2.13.2	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/slick.min42a3.css	(from http://localhost/Sito/)
17:37:29	182906/182906	---M--	200	added ('OK')	text/css	etag:%222ca7a-618e8eca8d348%22	http://localhost/Sito/wp-content/uploads/uag-plugin/assets/1000/uag-css-833.css?ver=1716238537	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/uploads/uag-plugin/assets/1000/uag-css-833e2fb.css	(from http://localhost/Sito/)
17:37:31	295/295	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2015:37:31%20GMT	http://localhost/Sito/wp-json/wp/v2/pages/833	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-json/wp/v2/pages/833.7.delayed	(from http://localhost/Sito/)
17:37:31	295/295	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2015:37:31%20GMT	http://localhost/Sito/wp-json/	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-json/index.html	(from http://localhost/Sito/)
17:37:32	13577/13577	---M--	200	added ('OK')	text/javascript	etag:%223509-5fdabee5f2100%22	http://localhost/Sito/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://localhost/Sito/)
17:37:32	792/792	---M--	200	added ('OK')	text/xml	date:Tue,%2021%20May%202024%2015:37:31%20GMT	http://localhost/Sito/xmlrpc.php?rsd	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/xmlrpc0db0.php	(from http://localhost/Sito/)
17:37:32	295/295	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2015:37:32%20GMT	http://localhost/Sito/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FSito%2F	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-json/oembed/1.0/embed992f	(from http://localhost/Sito/)
17:37:32	295/295	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2015:37:32%20GMT	http://localhost/Sito/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FSito%2F&format=xml	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-json/oembed/1.0/embed1b82	(from http://localhost/Sito/)
17:37:33	6177/6177	---M--	200	added ('OK')	image/png	etag:%221821-618e8ec5a2802%22	http://localhost/Sito/wp-content/uploads/2024/05/fafaa-removebg-preview-1-220x59.png	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/uploads/2024/05/fafaa-removebg-preview-1-220x59.png	(from http://localhost/Sito/)
17:37:34	3449/3449	---M--	200	added ('OK')	image/png	etag:%22d79-618e7d839a160%22	http://localhost/Sito/wp-content/uploads/2021/03/01.png	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/uploads/2021/03/01.png	(from http://localhost/Sito/)
17:37:35	4351/4351	---M--	200	added ('OK')	image/png	etag:%2210ff-618e7d8408860%22	http://localhost/Sito/wp-content/uploads/2021/03/02.png	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/uploads/2021/03/02.png	(from http://localhost/Sito/)
17:37:36	4496/4496	---M--	200	added ('OK')	image/png	etag:%221190-618e7d847f226%22	http://localhost/Sito/wp-content/uploads/2021/03/03.png	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/uploads/2021/03/03.png	(from http://localhost/Sito/)
17:37:36	18696/18696	---M--	200	added ('OK')	image/jpeg	etag:%224908-618e8435fe777%22	http://localhost/Sito/wp-content/uploads/2024/05/1709123704598-300x300.jpeg	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/uploads/2024/05/1709123704598-300x300.jpg	(from http://localhost/Sito/)
17:37:40	87553/87553	---M--	200	added ('OK')	text/javascript	etag:%2215601-603fed35e19c0%22	http://localhost/Sito/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-includes/js/jquery/jquery.minf43b.js	(from http://localhost/Sito/)
17:37:41	28636/28636	---M--	200	added ('OK')	image/png	etag:%226fdc-618e7d8d7bce1%22	http://localhost/Sito/wp-content/uploads/2021/08/testimonial-03.png	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/uploads/2021/08/testimonial-03.png	(from http://localhost/Sito/)
17:37:41	30358/30358	---M--	200	added ('OK')	image/png	etag:%227696-618e7d9028788%22	http://localhost/Sito/wp-content/uploads/2021/08/testimonial-02.png	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/uploads/2021/08/testimonial-02.png	(from http://localhost/Sito/)
17:37:43	8171/8171	---M--	200	added ('OK')	text/javascript	etag:%221feb-5f287f2e2a640%22	http://localhost/Sito/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from http://localhost/Sito/)
17:37:44	21986/21986	---M--	200	added ('OK')	text/javascript	etag:%2255e2-618e7d5b604af%22	http://localhost/Sito/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.6.14	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/themes/astra/assets/js/minified/frontend.min33c5.js	(from http://localhost/Sito/)
17:37:44	6625/6625	---M--	200	added ('OK')	text/javascript	etag:%2219e1-605bb4a4f5400%22	http://localhost/Sito/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.14.0	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-includes/js/dist/vendor/regenerator-runtime.min6c85.js	(from http://localhost/Sito/)
17:37:44	28367/28367	---M--	200	added ('OK')	image/png	etag:%226ecf-618e7d8fbac54%22	http://localhost/Sito/wp-content/uploads/2021/08/testimonial-01.png	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/uploads/2021/08/testimonial-01.png	(from http://localhost/Sito/)
17:37:45	457/457	---M--	200	added ('OK')	text/javascript	etag:%221c9-6103d74a0ab00%22	http://localhost/Sito/wp-includes/js/dist/dom-ready.min.js?ver=f77871ff7694fffea381	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-includes/js/dist/dom-ready.min5346.js	(from http://localhost/Sito/)
17:37:46	4479/4479	---M--	200	added ('OK')	text/javascript	etag:%22117f-618e7a65f1e9c%22	http://localhost/Sito/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/spectra-block-positioning.min.js?ver=2.13.2	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/spectra-block-positioning.min42a3.js	(from http://localhost/Sito/)
17:37:46	6581/6581	---M--	200	added ('OK')	text/javascript	etag:%2219b5-618f85ec614e6%22	http://localhost/Sito/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/main.js?ver=06758d4d807d9d22c6ea	C:/My%20Web%20Sites/Gianmarco/localhost/Sito/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/maina11c.js	(from http://localhost/Sito/)
